country_code,country_name,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ARE,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,8,9,12,14,17,22,37,47,51,51,57,55,60,69,85,114,151,187,265,409,605,758,957,1287,1773,2405,3131,3697,4026,4116,4165,4122,4059,4021,4058,3817,3375,3375,3375,3375,3375,3375,3375
CYP,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,11,13,14,16,19,33,43,55,99,141,199,274,365,476,712,791,992,1141,1222,1333,1625,1971,2455,3015,3749,3977,4037,4093,4105,4132,4152,4086,3981,3856,3856,3856,3856,3856,3856,3856
VEN,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,6,6,6,6,7,7,10,11,18,22,23,32,36,36,36,38,39,45,60,65,74,90,93,128,141,156,181,173,191,231,246,264,303,286,309,325,325,331,319,284,254,213,213,213,213,213,213,213
IMN,Isle of Man,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,8,9,9,9,10,12,12,12,12,14,14,19,22,25,27,29,31,41,45,56,69,97,120,136,188,264,320,393,442,518,608,787,1033,1161,1185,1446,1740,2033,2167,2052,1966,1994,2076,2184,2344,2555,2604,2640,2643,2701,2807,2862,2893,2815,2603,2603,2603,2603,2603,2603,2603
LBN,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,6,12,13,14,15,16,16,17,19,24,26,33,33,36,40,47,49,53,70,106,150,187,163,218,218,191,199,222,219,226,214,203,182,182,182,182,182,182,182
DNK,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,4,4,3,3,4,7,11,11,8,8,8,7,7,7,7,7,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6
URY,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,4,4,4,4,4,4,5,5,6,6,6,6,6,6,7,8,8,8,9,9,10,10,10,13,20,28,39,48,138,289,517,705,897,975,1048,1085,1160,1215,1375,1532,1640,1724,1964,2200,2794,2912,2976,3015,2726,2726,2726,2726,2726,2726,2726
JOR,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,11,26,67,97,104,109,121,148,175,206,240,234,237,229,255,257,255,260,252,247,284,282,321,328,357,415,500,543,603,604,593,589,637,653,749,746,761,715,715,715,715,715,715,715
BHS,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,4,4,4,4,4,5,6,10,11,12,17,26,39,49,61,70,80,98,119,136,154,175,188,205,220,246,274,336,418,509,536,570,592,614,628,648,667,711,758,833,911,979,1057,1162,1273,1380,1489,1650,1808,2087,2196,2266,2355,2561,2637,2740,2935,3669,5036,6462,8349,10596,11701,12463,13053,13617,14246,14968,15428,16010,16066,16085,16663,16667,16674,16679,16685,16682,16698,16710,16718,16733,16753,16785,16820,16862,16897,16927,16970,17055,17175,17238,17356,17446,17587,17737,18004,18270,18518,18844,19074,19247,19376,19455,19469,19528,19475,19320,19097,19160,19160,19160,19160,19160,19160
GBR,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,7,8,9,10,10,12,13,15,16,23,28,35,37,44,68,99,148,200,306,397,499,594,748,936,1020,1099,1139,1217,1226,1341,1466,1826,2358,3027,3474,3939,4286,4593,5015,5584,6701,8248,10012,11277,11611,11648,11773,11836,11985,12001,11927,11792,11459,11459,11459,11459,11459,11459,11459
